,stop_name,stop_lat,stop_lon
266,VERANDA ST + SHERWOOD ST,43.681489,-70.256349
267,WESTERN AVE + 371 WESTERN,43.641813,-70.328242
268,MAIN ST + 741 MAIN,43.676907,-70.361343
269,VERANDA ST + MARINE HOSPITAL,43.688093,-70.248111
271,WASHINGTON AVE + W. PRESUMPSCOT ST,43.682,-70.261081
272,PREBLE ST + CUMBERLAND,43.658107,-70.260783
273,FORESIDE RD + 213 FORESIDE,43.729553,-70.212907
274,WESTBROOK ST + 1025 WESTBROOK,43.649367,-70.309281
275,MAIN ST + STROUDWATER,43.676756,-70.361271
277,PREBLE ST + LANCASTER,43.659822,-70.262965
279,AUBURN ST + BARTLEY,43.708254,-70.290435
282,ROUTE 1 + GILSLAND FARM,43.705172,-70.237629
283,STEVENS AVE + 825 STEVENS,43.686723,-70.2933
286,BRIGHTON AVE + 460 BRIGHTON,43.666933,-70.296921
288,ROUTE 1 + WINSLOW,43.700394,-70.24004
289,MARGINAL WAY + 161 MARGINAL,43.663782,-70.261994
290,PARK AVE + GILMAN,43.655767,-70.279107
291,CONGRESS ST + UNUM,43.651219,-70.327495
292,WASHINGTON AVE + 1364 WASHINGTON,43.698896,-70.287495
293,FOREST AVE + ALLEN,43.688999,-70.29436
294,WASHINGTON AVE + BERNARD,43.695256,-70.284573
295,WESTBROOK ST + 1050 WESTBROOK,43.651576,-70.310582
296,MAINE MALL JC,43.632857,-70.332598
297,BACK COVE,43.663824,-70.268384
298,UNUM,43.651082,-70.327325
299,JOHNSON RD + VALLEY,43.738643,-70.217316
300,BRIGHTON AVE + KENWOOD,43.662322,-70.281183
302,AUBURN ST + 206 AUBURN,43.707563,-70.290466
306,SACO ST + EISENHOWER,43.664802,-70.37639
307,ROUTE 1 + 251 ROUTE,43.725256,-70.229925
309,DEPOT RD + 13 DEPOT,43.719999,-70.229036
310,WASHINGTON AVE + OXFORD,43.665307,-70.252188
311,WESTGAT,43.659619,-70.296859
314,MERCY AT THE,43.649017,-70.283706
315,CONGRESS ST + 1577 CONGRESS,43.659668,-70.305619
316,NORTH ST + 143 NORTH,43.669721,-70.252394
317,MAIN ST + RIVERBANK,43.678421,-70.357681
318,WESTERN AVE + 400 WESTERN,43.642163,-70.32908
319,WEST FALMOUTH,43.733966,-70.293985
320,ROUTE 1 + 172 ROUTE,43.713619,-70.233627
321,FOREST AVE + 1124 FOREST,43.68593,-70.292372
322,STEVENS AVE + ANSON,43.66241,-70.297841
324,HIGH ST + SPRING,43.653039,-70.261479
325,CONGRESS ST + 206 CONGRESS,43.66365,-70.250466
326,CONGRESS ST + BLUEBERRY,43.650785,-70.333938
327,HANNAFORD MAINE,43.634451,-70.328922
328,PARK AVE + ST JOHN,43.65587,-70.281028
329,FOREST AVE + CASTINE,43.699217,-70.314431
330,WASHINGTON AVE + 1476 WASHINGTON,43.702262,-70.290249
331,HARBOR,43.646636,-70.267142
333,BRACKETT ST + GRAY,43.649301,-70.263891
334,FOREST AVE + LIBBY,43.695229,-70.303804
335,ROUTE 1 + GILSLAND  FARM,43.705019,-70.237436
336,MAIN ST + 389 MAIN,43.681304,-70.34667
338,AUBURN ST + 46 AUBURN,43.701825,-70.289162
339,JOHNSON RD + 44 JOHNSON,43.737306,-70.213033
340,BUCKNAM RD + 119 BUCKNAM,43.729108,-70.240208
341,ROUTE 1 + 374 ROUTE,43.739007,-70.221458
342,WASHINGTON AVE + MARION,43.666193,-70.252473
343,VALLEY ST + D,43.649222,-70.277778
345,MIDDLE ST + PEARL,43.658254,-70.253424
346,CONGRESS ST + NORTH,43.665753,-70.248173
347,VERANDA ST + OREGON,43.687433,-70.249414
349,BRIGHTON AVE + TAFT,43.675063,-70.323363
350,AUBURN ST + SUMMIT,43.718362,-70.29307
351,DANFORTH ST + HIGH,43.65183,-70.259833
352,AUBURN ST + 246 AUBURN,43.709376,-70.290944
353,COMMERCIAL ST + INDIA,43.659153,-70.248466
354,PINE ST + LEWIS,43.650225,-70.269595
356,BRIGHTON AVE + NOYES,43.66343,-70.284337
357,STEVENS AVE + MONTROSE,43.669034,-70.295116
358,CONGRESS ST + 1329 CONGRESS,43.658688,-70.29461
